epoch,acc,loss,val_acc,val_loss
0,0.4359254928725266,2.126802937712895,0.5518845509266933,1.6333822905980036
1,0.5181984730870485,1.7794069116135889,0.575344521411169,1.542091652620901
2,0.5352995979430448,1.7135274295645704,0.5861991346188019,1.5085392919753213
3,0.5429403930407736,1.681784658681381,0.5926768876668276,1.4880070697222805
4,0.547523619560563,1.658727755095973,0.5901007928265205,1.4815392431202579
5,0.5519442759652847,1.6452541671839,0.5993797363775296,1.465044823066274
6,0.5547017151060714,1.6330518262210159,0.596578545868583,1.464309792749026
7,0.5566775672019735,1.625142228655465,0.6013055548473991,1.4618547668548385
8,0.5587221989397246,1.6181391501854396,0.602906235136522,1.4476824147607703
9,0.5612045194404405,1.6059029588022178,0.5988795237871788,1.4487612291116192
10,0.5636743345619952,1.6002230591341398,0.6018557886967851,1.4444732034832206
11,0.5625863653745381,1.598426844385849,0.6046819898352491,1.4402516768591247
12,0.5636368183831432,1.5964884237653627,0.6081834779677054,1.432160168362186
13,0.5654876165363076,1.588868978755775,0.6028562138804684,1.4374035826095022
14,0.5652562667620609,1.5907572259542548,0.6034814796213885,1.4358810788321017
15,0.5661504023558005,1.5839747840066247,0.6062826701184091,1.4304673930069334
16,0.5663754994345036,1.5802745309036055,0.6049070854889811,1.4344247190011876
17,0.5768425133301484,1.5349918562781961,0.6115599129495926,1.4123507457524498
18,0.5813819709712561,1.516399078110017,0.6122101893140672,1.406266107091228
19,0.5833953392452649,1.5039525388111246,0.6153615286243334,1.3991907316702863
